id,Anzahl_Einl,Anzahl_Ausl
Seeland,6713,893
Oberaargau,7209,1228
Frutigen-Niedersimmental,3938,305
Emmental,9788,851
Biel/Bienne,7198,2687
Bern-Mittelland,32101,6119
Thun,9386,1082
Interlaken-Oberhasli,3992,669
Jura Bernois,5122,1049
Obersimmental-Saanen,1335,249
