Gemeinde;Verwaltungskreis;Schule;Träger;Unterrichtssprache;Bildungsstufe;Schultyp;Anzahl_Schueler;Anzahl_Frauen;Anzahl_Ausl;Anzahl_Fremdspr
Mattstetten;Bern-Mittelland;Kindergarten und Primarschule Mattstetten;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;27;10;0;1
Meikirch;Bern-Mittelland;Schulhaus Ortschwaben;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;34;15;9;6
Meikirch;Bern-Mittelland;Schulhaus Wahlendorf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;37;18;0;1
Meikirch;Bern-Mittelland;arco - schule für lebendiges lernen;Nicht subventionierte Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;7;2;0;0
Meikirch;Bern-Mittelland;Schulhaus Gassacker;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;28;16;2;2
Mirchel;Bern-Mittelland;KG, Primar-, Realschule Mirchel;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;48;18;0;0
Moosseedorf;Bern-Mittelland;Oberstufe Moosseedorf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;68;33;13;23
Moosseedorf;Bern-Mittelland;Unterstufe Moosseedorf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;147;79;47;47
Mühleberg;Bern-Mittelland;Kindergarten und Primarschule Ledi;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;38;21;0;0
Mühleberg;Bern-Mittelland;Kindergarten und Primarschule Mühleberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;39;23;3;3
Mühleberg;Bern-Mittelland;Schule Allenlüften;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;35;15;2;2
Mühledorf (BE);Bern-Mittelland;Primarschule Mühledorf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;13;8;0;0
Mühlethurnen;Bern-Mittelland;Schule Mühlethurnen - Lohnstorf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;90;43;2;5
Münchenbuchsee;Bern-Mittelland;Allmend Münchenbuchsee;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;28;17;18;25
Münchenbuchsee;Bern-Mittelland;Bodenacker Münchenbuchsee;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;86;44;11;19
Münchenbuchsee;Bern-Mittelland;Dorfschulhaus Münchenbuchsee;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;62;27;7;16
Münchenbuchsee;Bern-Mittelland;Paul Klee Schulhaus und Pavillon;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;182;78;14;35
Münchenbuchsee;Bern-Mittelland;Waldegg Münchenbuchsee;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;201;100;47;74
Münchenwiler;Bern-Mittelland;Primarschule Münchenwiler;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;31;19;7;7
Münsingen;Bern-Mittelland;Schulhaus Sonnhalde;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;115;52;11;24
Münsingen;Bern-Mittelland;Schulalternative Region Aaretal (SAAT);Nicht subventionierte Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;20;7;0;2
Münsingen;Bern-Mittelland;Schulhaus Mittelweg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;43;21;9;11
Münsingen;Bern-Mittelland;Schulhaus Rebacker;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;89;34;11;12
Münsingen;Bern-Mittelland;Schulzentrum Schlossmatt Münsingen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;359;190;52;74
Muri bei Bern;Bern-Mittelland;Schule Aebnit;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;113;53;12;24
Muri bei Bern;Bern-Mittelland;Schule Dorf Gümligen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;31;14;4;2
Muri bei Bern;Bern-Mittelland;Schule Horbern;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;120;61;11;14
Muri bei Bern;Bern-Mittelland;Schule Melchenbühl;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;78;42;7;22
Muri bei Bern;Bern-Mittelland;Schule Moos;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;114;56;14;38
Muri bei Bern;Bern-Mittelland;Schule Seidenberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;103;59;9;15
Muri bei Bern;Bern-Mittelland;The British School;Nicht subventionierte Schule;Englisch;Primarstufe;Regelklasse Primarstufe;69;35;47;69
Muri bei Bern;Bern-Mittelland;International School of Berne;Subventionierte Schule;Englisch;Primarstufe;Regelklasse Primarstufe;90;31;86;90
Neuenegg;Bern-Mittelland;Kindergarten und Schulhaus Neuenegg-Dorf;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;122;67;18;22
Neuenegg;Bern-Mittelland;Kindergarten und Primarstufe Thörishaus;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;97;36;14;39
Neuenegg;Bern-Mittelland;Kindergarten und Schulhaus Au;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;48;22;8;14
Neuenegg;Bern-Mittelland;Kindergarten und Schulhaus Bramberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;43;22;2;6
Niederhünigen;Bern-Mittelland;Kindergarten, Primar und Realschule Niederhünigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;49;18;0;1
Niedermuhlern;Bern-Mittelland;Schule Niedermuhlern und Realschule NOW;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;21;9;2;1
Oberbalm;Bern-Mittelland;Kindergarten und Primarschule Oberbalm;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;48;20;1;2
Oberdiessbach;Bern-Mittelland;Kindergarten und Primarschule Oberdiessbach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;203;85;14;23
Oberhünigen;Bern-Mittelland;Kindergarten, Primar- und Realschule Oberhünigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;38;20;0;2
Oberthal;Bern-Mittelland;Primar- und Realschule Oberthal;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;38;21;1;0
Oppligen;Bern-Mittelland;Primarschule Oppligen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;48;31;4;5
Ostermundigen;Bern-Mittelland;Montessori Grundschule;Nicht subventionierte Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;28;8;3;0
Ostermundigen;Bern-Mittelland;Schule Rüti Ostermundigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;237;111;92;141
Ostermundigen;Bern-Mittelland;Schule Bernstrasse Ostermundigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;137;66;53;78
Ostermundigen;Bern-Mittelland;Schule Dennigkofen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;120;60;41;64
Ostermundigen;Bern-Mittelland;Schule Mösli Ostermundigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;220;109;92;149
Riggisberg;Bern-Mittelland;Primarschule Riggisberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;100;60;3;5
Riggisberg;Bern-Mittelland;Unterstufenzentrum Riggisberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;56;23;2;3
Rubigen;Bern-Mittelland;Kindergarten und Primarschule Rubigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;142;69;10;15
Rüeggisberg;Bern-Mittelland;Altes Schulhaus Rüeggisberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;36;21;0;2
Rüeggisberg;Bern-Mittelland;Schulhaus Vorderfultigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;31;18;1;1
Rüeggisberg;Bern-Mittelland;Schule Ziegelacker;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;33;18;1;2
Rümligen;Bern-Mittelland;Primarschule Rümligen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;12;7;0;0
Rüschegg;Bern-Mittelland;Primarschule Hirschhorn;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;18;10;0;0
Rüschegg;Bern-Mittelland;Kindergarten, Primar-und Realschule Rüschegg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;57;34;2;2
Schalunen;Bern-Mittelland;Primarschule Schalunen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;23;11;4;7
Schlosswil;Bern-Mittelland;Schule Schlosswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;38;19;0;0
Schwarzenburg;Bern-Mittelland;KG und PS  Schlossgasse;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;82;30;1;5
Schwarzenburg;Bern-Mittelland;KG und PS Albligen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;22;13;0;0
Schwarzenburg;Bern-Mittelland;KG und PS Steinenbrünnen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;48;25;5;3
Schwarzenburg;Bern-Mittelland;KG und PS Tännlenen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;57;29;0;2
Schwarzenburg;Bern-Mittelland;KG und PS Zumholz;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;27;12;0;0
Schwarzenburg;Bern-Mittelland;Kindergärten und Primarschulen Thunstrasse;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;162;86;7;13
Stettlen;Bern-Mittelland;Schule Bernstrasse Stettlen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;73;31;6;10
Stettlen;Bern-Mittelland;Kindergarten Gartenstrasse;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;37;20;3;6
Stettlen;Bern-Mittelland;Schule Bleiche;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;54;33;3;7
Tägertschi;Bern-Mittelland;Primar-, Realschule und Kindergarten Tägertschi;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;23;11;1;0
Toffen;Bern-Mittelland;Schulhaus Matte Toffen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;36;13;3;3
Toffen;Bern-Mittelland;Schulhaus Hang;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;105;45;7;4
Trimstein;Bern-Mittelland;Schulhaus Trimstein;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;27;13;2;0
Urtenen-Schönbühl;Bern-Mittelland;Schulhaus Lee 1-4;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;272;144;56;96
Vechigen;Bern-Mittelland;Primarschule Boll;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;139;61;5;1
Vechigen;Bern-Mittelland;Primarschule Littewil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;14;7;0;0
Vechigen;Bern-Mittelland;Primarschule Utzigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;39;16;1;0
Vechigen;Bern-Mittelland;Schulhaus Vechigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;77;45;7;0
Vechigen;Bern-Mittelland;Gesamtschule Lindental;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;13;7;0;0
Wald (BE);Bern-Mittelland;Schule Wald;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;62;33;4;4
Walkringen;Bern-Mittelland;Primarschule Wikartswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;17;10;0;0
Walkringen;Bern-Mittelland;Schule Bigenthal;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;39;23;0;0
Walkringen;Bern-Mittelland;Schule Walkringen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;59;30;2;2
Wichtrach;Bern-Mittelland;Schulhaus am Bach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;79;39;1;1
Wichtrach;Bern-Mittelland;Schulhaus Kirchstrasse;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;81;42;5;4
Wichtrach;Bern-Mittelland;Schule Stadelfeld;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;97;45;6;5
Wiggiswil;Bern-Mittelland;Gesamtschule Deisswil-Wiggiswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;13;7;1;1
Wileroltigen;Bern-Mittelland;Kindergarten und Primarschule Wileroltigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;23;10;5;4
Wohlen bei Bern;Bern-Mittelland;Primarschule Hinterkappelen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;212;105;32;58
Wohlen bei Bern;Bern-Mittelland;Primarschule Matzwil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;24;7;0;0
Wohlen bei Bern;Bern-Mittelland;Kindergarten und Primarschule Uettligen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;119;59;2;7
Wohlen bei Bern;Bern-Mittelland;Kindergarten/Primarschule Murzelen-Innerberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;41;19;0;0
Wohlen bei Bern;Bern-Mittelland;Kindergarten/Primarschule Wohlen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;98;54;1;3
Worb;Bern-Mittelland;Schulhaus Enggistein;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;28;12;17;16
Worb;Bern-Mittelland;Schulhaus Richigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;17;10;2;4
Worb;Bern-Mittelland;Schulhaus Wyden 2;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;200;93;35;52
Worb;Bern-Mittelland;Schulhaus und Kindergarten Sonnhalde;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;79;37;12;10
Worb;Bern-Mittelland;Schulhaus und Kindergarten Zentrum;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;75;39;22;31
Worb;Bern-Mittelland;Schulhaus Vielbringen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;20;6;2;2
Worb;Bern-Mittelland;Schule Rüfenacht;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;193;106;49;86
Zäziwil;Bern-Mittelland;Primar-/Realschule Zäziwil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;99;49;6;6
Zollikofen;Bern-Mittelland;Schulhaus Steinibach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;121;60;53;77
Zollikofen;Bern-Mittelland;Wahlacker-Zentral;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;283;140;81;119
Zollikofen;Bern-Mittelland;Schulhaus Geisshubel;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;131;65;18;15
Zollikofen;Bern-Mittelland;Bernische Schule auf biblischer Basis (BSBB);Nicht subventionierte Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;17;10;0;1
Zuzwil (BE);Bern-Mittelland;Schule Zuzwil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;33;20;1;1
Belp;Bern-Mittelland;Oberstufenzentrum Belp;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;245;126;11;9
Bern;Bern-Mittelland;Gymnasium Bern-Kirchenfeld;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;207;124;17;0
Bern;Bern-Mittelland;Gymnasium Bern-Neufeld;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;201;110;16;12
Bern;Bern-Mittelland;Gymnasium Muristalden;Subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;56;32;4;0
Bern;Bern-Mittelland;Schulhaus Hochfeld I;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;175;79;19;14
Bern;Bern-Mittelland;Schulhaus Munzinger;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;152;77;16;14
Bern;Bern-Mittelland;Christliche Schule Bern;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;9;3;0;0
Bern;Bern-Mittelland;Feusi Bildungszentrum AG;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;94;34;4;7
Bern;Bern-Mittelland;Freies Gymnasium;Subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;152;72;17;7
Bern;Bern-Mittelland;Musische Schule;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;3;1;0;0
Bern;Bern-Mittelland;NMS Bern;Subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;179;88;14;12
Bern;Bern-Mittelland;Schulhaus Bümpliz;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;115;60;27;44
Bern;Bern-Mittelland;Schulhaus Laubegg;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;157;92;12;16
Bern;Bern-Mittelland;Schulhaus Lorraine;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;28;13;1;4
Bern;Bern-Mittelland;Schulhaus Manuel;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;121;57;9;14
Bern;Bern-Mittelland;Schulhaus Spitalacker;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;78;48;5;4
Bern;Bern-Mittelland;Schulhaus Stapfenacker;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;36;26;3;10
Bern;Bern-Mittelland;Campus Muristalden Volksschule;Subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;112;47;5;0
Bern;Bern-Mittelland;Schulhaus Bethlehemacker;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;79;39;22;34
Bern;Bern-Mittelland;Schulhaus Brunnmatt;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;45;14;10;25
Bern;Bern-Mittelland;Schulhaus Wankdorf;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;85;32;11;21
Bern;Bern-Mittelland;Schulhäuser Schwabgut I+II;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;87;48;28;45
Bern;Bern-Mittelland;Ecole secondaire ECLF;Öffentliche Schule;Französisch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;74;37;34;36
Biglen;Bern-Mittelland;Sekundar- und Realschule Biglen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;81;50;6;4
Bolligen;Bern-Mittelland;Oberstufenzentrum Eisengasse Bolligen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;188;98;8;5
Bremgarten bei Bern;Bern-Mittelland;Oberstufe Bremgarten (5.-9. Klassen);Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;85;35;5;7
Fraubrunnen;Bern-Mittelland;Oberstufe Fraubrunnen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;86;45;3;2
Grosshöchstetten;Bern-Mittelland;Sekundarschule Grosshöchstetten;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;122;68;2;4
Ittigen;Bern-Mittelland;Oberstufenzentrum Ittigen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;156;71;22;30
Jegenstorf;Bern-Mittelland;Schulanlage Gyrisberg;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;101;49;6;3
Kehrsatz;Bern-Mittelland;Oberstufe Kehrsatz;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;109;57;4;16
Köniz;Bern-Mittelland;Gymnasium Köniz-Lerbermatt;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;263;153;19;24
Köniz;Bern-Mittelland;Oberstufenzentrum Köniz (OZK);Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;110;43;12;31
Köniz;Bern-Mittelland;Schule Liebefeld-Steinhölzli;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;110;52;28;54
Köniz;Bern-Mittelland;Schule Niederwangen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;48;29;7;17
Köniz;Bern-Mittelland;Schule Spiegel;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;64;27;5;6
Köniz;Bern-Mittelland;Schule Wabern-Morillon;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;46;24;5;10
Köniz;Bern-Mittelland;Kindergärten (I + II) und Schule Niederscherli;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;85;39;1;2
Konolfingen;Bern-Mittelland;Oberstufenzentrum Stockhorn;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;126;65;9;1
Laupen;Bern-Mittelland;Schule Laupen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;78;49;2;2
Meikirch;Bern-Mittelland;Schulhaus Gassacker;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;25;15;0;0
Moosseedorf;Bern-Mittelland;Oberstufe Moosseedorf;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;32;14;1;7
Mühleberg;Bern-Mittelland;Schule Allenlüften;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;60;34;1;1
Münchenbuchsee;Bern-Mittelland;Gymnasium Hofwil;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;71;51;0;0
Münchenbuchsee;Bern-Mittelland;Schulhaus Bodenacker Münchenbuchsee;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;86;44;4;5
Münchenbuchsee;Bern-Mittelland;Schulhaus Riedli;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;146;76;21;25
Münsingen;Bern-Mittelland;Schulhaus Rebacker;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;144;70;15;17
Münsingen;Bern-Mittelland;Schulzentrum Schlossmatt Münsingen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;133;68;5;10
Muri bei Bern;Bern-Mittelland;Schule Moos;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;119;64;23;24
Muri bei Bern;Bern-Mittelland;Schule Seidenberg;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;95;48;13;8
Neuenegg;Bern-Mittelland;Sekundarstufe I Neuenegg;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;89;50;5;9
Oberdiessbach;Bern-Mittelland;Sekundarschule Oberdiessbach;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;103;44;4;3
Ostermundigen;Bern-Mittelland;Schule Dennigkofen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;124;59;21;57
Ostermundigen;Bern-Mittelland;Schule Mösli Ostermundigen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;58;31;16;33
Riggisberg;Bern-Mittelland;Real- und Sekundarschule Riggisberg;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;79;43;3;3
Riggisberg;Bern-Mittelland;Realschulhaus Riggisberg;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;47;22;0;0
Schwarzenburg;Bern-Mittelland;Oberstufenzentrum Schwarzenburg;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;205;119;3;9
Urtenen-Schönbühl;Bern-Mittelland;Schulhaus Lee 1-4;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;76;42;8;18
Vechigen;Bern-Mittelland;Oberstufenschule Vechigen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;73;43;4;0
Vechigen;Bern-Mittelland;Gesamtschule Lindental;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;5;0;0;0
Wichtrach;Bern-Mittelland;Sekstufe 1 Wichtrach;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;165;73;4;2
Wohlen bei Bern;Bern-Mittelland;Oberstufenschule Hinterkappelen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;103;52;6;7
Wohlen bei Bern;Bern-Mittelland;Oberstufenschule Uettligen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;101;60;1;1
Worb;Bern-Mittelland;Schulzentrum Worbboden;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;107;52;5;10
Worb;Bern-Mittelland;Schule Rüfenacht;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;56;26;9;15
Zollikofen;Bern-Mittelland;Sekundarstufe I Zollikofen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;116;55;15;27
Zollikofen;Bern-Mittelland;Bernische Schule auf biblischer Basis (BSBB);Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;9;7;0;1
Bern;Bern-Mittelland;Polygon-Schule;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarstufe I ohne Selektion;5;0;0;2
