date,group,value
Öffentliche Schule,Vorschulstufe,17031
Öffentliche Schule,Primarstufe,53462
Öffentliche Schule,Sekundarstufe I,28112
Subventionierte Schule,Vorschulstufe,226
Subventionierte Schule,Primarstufe,918
Subventionierte Schule,Sekundarstufe I,1064
Nicht subventionierte Schule,Vorschulstufe,28
Nicht subventionierte Schule,Primarstufe,386
Nicht subventionierte Schule,Sekundarstufe I,687
