id,Anzahl_Einl,Anzahl_Ausl
Seeland,6601,1005
Oberaargau,6762,1675
Frutigen-Niedersimmental,3913,330
Emmental,9282,1357
Biel/Bienne,6110,3775
Bern-Mittelland,28946,9274
Thun,8802,1666
Interlaken-Oberhasli,3957,704
Jura Bernois,5109,1062
Obersimmental-Saanen,1302,282
